batting_team,bowling_team,venue,runs_left,ball_left,wicket_left,crr,rrr,result
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,221,119,10,6.0,11.14,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,220,118,10,6.0,11.19,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,220,117,10,4.0,11.28,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,219,116,10,4.5,11.33,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,218,115,10,4.8,11.37,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,218,114,10,4.0,11.47,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,218,113,10,3.43,11.58,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,218,113,9,3.43,11.58,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,218,112,9,3.0,11.68,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,214,111,9,5.33,11.57,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,213,110,9,5.4,11.62,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,213,109,9,4.91,11.72,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,213,108,9,4.5,11.83,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,213,107,9,4.15,11.94,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,213,106,8,3.86,12.06,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,212,105,8,4.0,12.11,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,212,104,8,3.75,12.23,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,211,103,8,3.88,12.29,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,211,102,8,3.67,12.41,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,210,101,8,3.79,12.48,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,208,101,8,4.42,12.36,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,207,100,8,4.5,12.42,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,207,99,8,4.29,12.55,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,206,98,8,4.36,12.61,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,206,97,8,4.17,12.74,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,206,96,8,4.0,12.88,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,205,95,8,4.08,12.95,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,204,94,8,4.15,13.02,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,204,93,8,4.0,13.16,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,198,92,8,5.14,12.91,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,198,91,7,4.97,13.05,0
